Origin,To,Aircraft,Passengers,LF,Change,origin_lat,origin_lon,dest_lat,dest_lon,City-Pair
PER,SYD,10097,1639356,0.85686,-0.0311,-31.9403,115.9672,-33.9399,151.1753,Perth - Sydney
ADL,SYD,14016,1883796,0.802412952,0.0027,-34.945,138.5306,-33.9399,151.1753,Adelaide - Sydney
BNE,MEL,24965,3499263,0.837778079,-0.0303,-27.3842,153.1175,-37.6733,144.8433,Brisbane - Melbourne
BNE,SYD,31444,4358325,0.838389973,-0.096,-27.3842,153.1175,-33.9399,151.1753,Brisbane - Sydney
MEL,OOL,13408,2187900,0.888544661,0.031,-37.6733,144.8433,-28.1644,153.5049,Melbourne - Gold Coast
OOL,SYD,16439,2538036,0.869877376,-0.0714,-28.1644,153.5049,-33.9399,151.1753,Gold Coast - Sydney
CNS,MEL,4883,824781,0.873458862,-0.0363,-16.8858,145.7553,-37.6733,144.8433,Cairns - Melbourne
CBR,OOL,1172,182538,0.869514269,0,-35.3069,149.195,-28.1644,153.5049,Canberra - Gold Coast
BNE,DRW,2697,327251,0.86734729,-0.0777,-27.3842,153.1175,-12.4083,130.8727,Brisbane - Darwin
BNE,CBR,6742,638259,0.76195655,-0.0331,-27.3842,153.1175,-35.3069,149.195,Brisbane - Canberra
DRW,MEL,1992,289261,0.844616849,-0.0697,-12.4083,130.8727,-37.6733,144.8433,Darwin - Melbourne
ADL,CBR,2398,186144,0.712679324,-0.0476,-34.945,138.5306,-35.3069,149.195,Adelaide - Canberra
ADL,MEL,16732,2331114,0.838541376,-0.0815,-34.945,138.5306,-37.6733,144.8433,Adelaide - Melbourne
ADL,BNE,8246,875326,0.812695613,0,-34.945,138.5306,-27.3842,153.1175,Adelaide - Brisbane
ADL,OOL,1601,279844,0.8924223,0.3007,-34.945,138.5306,-28.1644,153.5049,Adelaide - Gold Coast
BNE,PER,7434,1090947,0.847695648,0.1357,-27.3842,153.1175,-31.9403,115.9672,Brisbane - Perth
HBA,MEL,9813,1373110,0.830100553,-0.1779,-42.8361,147.5106,-37.6733,144.8433,Hobart - Melbourne
ADL,PER,4843,697766,0.816810398,0.0623,-34.945,138.5306,-31.9403,115.9672,Adelaide - Perth
DRW,PER,1437,182512,0.738627902,0.0478,-12.4083,130.8727,-31.9403,115.9672,Darwin - Perth
MEL,PER,13381,2030577,0.83612663,-0.0377,-37.6733,144.8433,-31.9403,115.9672,Melbourne - Perth
BNE,HBA,2232,307032,0.860597703,0.2719,-27.3842,153.1175,-42.8361,147.5106,Brisbane - Hobart
BNE,CNS,10547,1305477,0.858668728,0.0099,-27.3842,153.1175,-16.8858,145.7553,Brisbane - Cairns
CBR,SYD,14739,639541,0.63211179,-0.3133,-35.3069,149.195,-33.9399,151.1753,Canberra - Sydney
CBR,MEL,9023,1009351,0.748712277,-0.1481,-35.3069,149.195,-37.6733,144.8433,Canberra - Melbourne
MEL,SYD,55624,8037070,0.833298781,-0.1247,-37.6733,144.8433,-33.9399,151.1753,Melbourne - Sydney
HBA,SYD,5700,804765,0.813525038,0.1041,-42.8361,147.5106,-33.9399,151.1753,Hobart - Sydney
CNS,SYD,5641,919237,0.861609135,-0.1473,-16.8858,145.7553,-33.9399,151.1753,Cairns - Sydney
