Origin,To,Year,Aircraft,Passengers,LF,Change
ADL,OOL,2024,1601,279844,0.8924223,0.3007
BNE,HBA,2024,2232,307032,0.860597703,0.2719
BNE,PER,2024,7434,1090947,0.847695648,0.1357
HBA,SYD,2024,5700,804765,0.813525038,0.1041
ADL,PER,2024,4843,697766,0.816810398,0.0623
DRW,PER,2024,1437,182512,0.738627902,0.0478
MEL,OOL,2024,13408,2187900,0.888544661,0.031
BNE,CNS,2024,10547,1305477,0.858668728,0.0099
ADL,SYD,2024,14016,1883796,0.802412952,0.0027
ADL,BNE,2024,8246,875326,0.812695613,0
DRW,SYD,2024,168,309468,22.88,0
CBR,OOL,2024,1172,182538,0.869514269,0
BNE,MEL,2024,24965,3499263,0.837778079,-0.0303
BNE,CBR,2024,6742,638259,0.76195655,-0.0331
CNS,MEL,2024,4883,824781,0.873458862,-0.0363
MEL,PER,2024,13381,2030577,0.83612663,-0.0377
ADL,CBR,2024,2398,186144,0.712679324,-0.0476
DRW,MEL,2024,1992,289261,0.844616849,-0.0697
OOL,SYD,2024,16439,2538036,0.869877376,-0.0714
BNE,DRW,2024,2697,327251,0.86734729,-0.0777
ADL,MEL,2024,16732,2331114,0.838541376,-0.0815
BNE,SYD,2024,31444,4358325,0.838389973,-0.096
MEL,SYD,2024,55624,8037070,0.833298781,-0.1247
CNS,SYD,2024,5641,919237,0.861609135,-0.1473
CBR,MEL,2024,9023,1009351,0.748712277,-0.1481
HBA,MEL,2024,9813,1373110,0.830100553,-0.1779
CBR,SYD,2024,14739,639541,0.63211179,-0.3133
